Manufacturer,Model,Match in Dataset 2,MSRP,Impedance,Efficiency,Sensitivity,Convert to Efficiency,Weight,Type,Form factor,Driver(s),Amp required,Connector,Detachable cable,Inline,Foldable,Rotatable earcups,Battery life,Default earpad material,Measurements,Image
Philips,SHP9500S,TRUE,100 USD,32,,102,73.50514998,330,Circumaural,Open,Dynamic 50 mm,No,3.5 mm,Yes,No,No,No,,,,img/philips-shp9500.jpg
Sennheiser,HD380 Pro,TRUE,195 USD,54,,110,81.73239376,220,Circumaural,Closed,Dynamic,Recommended,"3.5mm, 6.25mm",Yes,No,Yes,Yes,,Pleather,,img/sennheiser-hd380-pro.jpg
Sennheiser,HD518,TRUE,130 USD,50,,108,79.69897,255,Circumaural,Open,,Recommended,,Yes,,No,No,,,,img/sennheiser-hd518.jpg
Sennheiser,HD558,TRUE,96 USD,50,,112,83.69897,260,Circumaural,Open,Dynamic,Recommended,,Yes,,No,No,,,,img/sennheiser-hd558.jpg
Sennheiser,HD598,TRUE,250 USD,50,,112,83.69897,270,Circumaural,Open,Dynamic,Recommended,,Yes,,No,No,,,,img/sennheiser-hd598.jpg
Sennheiser,HD598Cs,TRUE,250 USD,23,,115,86.36172784,334,Circumaural,Closed,Dynamic,No,"3.5mm, 6.25mm",Yes,,No,No,,,,img/sennheiser-hd598cs.jpg
Sennheiser,HD600,TRUE,400 USD,300,97,,97,260,Circumaural,Open,Dynamic,Yes,,Yes,,No,No,,Velour,,img/sennheiser-hd600.jpg
Sennheiser,HD650,TRUE,500 USD,300,,103,75.47712125,260,Circumaural,Open,Dynamic,Yes,"1/4""",Yes,No,No,No,,Velours,,img/sennheiser-hd650.jpg
Sennheiser,HD6XX,TRUE,200 USD,300,,103,75.47712125,260,Circumaural,Open,Dynamic,Yes,"3.5mm, 6.25 adapter included",Yes,,No,No,,Velour,,img/sennheiser-hd6xx.jpg
Sennheiser,HD700,TRUE,750 USD,150,,105,77.17609126,270,Circumaural,Open,Dynamic,Yes,,Yes,,No,No,,,,img/sennheiser-hd700.jpg
Sennheiser,HD800,TRUE,1400 USD,300,,102,74.47712125,330,Circumaural,Open ,Dynamic,Yes,,Yes,,No,No,,,,img/sennheiser-hd800.jpg
Sennheiser ,URBANITE XL,TRUE,180 USD,18,,110,81.25527251,312,Circumaural ,Closed,,No,3.5mm,Yes,"Remote, mic",Yes,,,,,img/sennheiser-urbanite-xl.jpg
Shure,SRH440,TRUE,100 USD,44,,105,76.64345268,272,Circumaural,Closed,,Recommended,,,,,,,,,img/shure-srh440.jpg
Shure,SRH840,TRUE,200 USD,44,,102,73.64345268,317.5,Circumaural,Closed,,Recommended,,,,,,,,,img/shure-srh840.jpg
Superlux,HD 668B,TRUE,50 USD,56,,98,69.74818803,222,Circumaural,Semi,Dynamic,Recommended,3.5 TRS,Yes,,No,,,,,img/superlux-hd-668b.jpg
Superlux,HD-681,TRUE,50 USD,32,98,,98,221,Circumaural,Semi,Dynamic,No,3.5mm,No,No,No,No,,,,img/superlux-hd-681.jpg
Superlux,HD-681 EVO,TRUE,45 USD,32,,98,69.50514998,226,Circumaural,Semi,Dynamic,No,3.5/6.2,Yes,No,No,No,,PLeather/Velour,,img/superlux-hd-681-evo.jpg
V-moda,Crossfade M100,TRUE,300 USD,32,,103,74.50514998,280,Circumaural,Closed,Dual-Diaphram Dynamic,No,,Yes,,,,,,,img/v-moda-crossfade-m100.jpg
